epoch,accuracy,loss,val_accuracy,val_loss
0,0.6648215055465698,0.9752911925315857,0.6743515729904175,0.8876944184303284
1,0.8040409684181213,0.57048100233078,0.7233429551124573,0.7627459764480591
2,0.8524771928787231,0.4011402130126953,0.6974063515663147,0.7857779264450073
3,0.8862441182136536,0.31934654712677,0.7002881765365601,0.8179401159286499
4,0.9128148555755615,0.2534179985523224,0.6916426420211792,0.8660816550254822
5,0.9321893453598022,0.20675155520439148,0.6916426420211792,0.9483544826507568
6,0.9446443319320679,0.1831797957420349,0.680115282535553,0.9836122989654541
7,0.9576529264450073,0.1474595069885254,0.6772334575653076,1.0584484338760376
8,0.9604207277297974,0.13418814539909363,0.6714697480201721,1.1442080736160278
9,0.9670633673667908,0.11987916380167007,0.6858789920806885,1.2225000858306885
10,0.9687240719795227,0.10556153953075409,0.6772334575653076,1.2506016492843628
11,0.9681705236434937,0.10090050101280212,0.6714697480201721,1.3128118515014648
12,0.971491813659668,0.08926816284656525,0.6570605039596558,1.3287575244903564
13,0.9723221659660339,0.08748117834329605,0.6743515729904175,1.3779547214508057
14,0.9723221659660339,0.07978875190019608,0.6657060384750366,1.4670559167861938
15,0.976473867893219,0.07614050060510635,0.6599423885345459,1.4645214080810547
16,0.9759202599525452,0.0785902813076973,0.6685879230499268,1.4771595001220703
17,0.9753667116165161,0.07545438408851624,0.6570605039596558,1.6085089445114136
18,0.975643515586853,0.07455897331237793,0.651296854019165,1.5639371871948242
19,0.9753667116165161,0.06827186048030853,0.6599423885345459,1.5803569555282593
20,0.9784113168716431,0.06738466769456863,0.6628242135047913,1.5271414518356323
21,0.9753667116165161,0.06623570621013641,0.6772334575653076,1.5803788900375366
22,0.976473867893219,0.06241615116596222,0.6743515729904175,1.537274718284607
23,0.9784113168716431,0.06299521774053574,0.6743515729904175,1.6067707538604736
24,0.9767506122589111,0.0580131933093071,0.6743515729904175,1.6285020112991333
